Class Name,API Name,Number of Input Parameter,Input Parameter Types,List of Methods Invoked
Lcom/android/server/notification/NotificationManagerService,isNotificationPolicyAccessGrantedForPackage,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]","['enforceSystemOrSystemUIOrSamePackage', 'checkPolicyAccess']"
Lcom/android/server/notification/NotificationManagerService,isSystemConditionProviderEnabled,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]","['isSystemProviderEnabled', 'enforceSystemOrSystemUI', 'access$900']"
Lcom/android/server/notification/NotificationManagerService,matchesCallFilter,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/os/Bundle>]","['access$700', 'matchesCallFilter', 'enforceSystemOrSystemUI', 'getCallingUserHandle', 'findExtractor']"
Lcom/android/server/notification/NotificationManagerService,onlyHasDefaultChannel,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]","['access$700', 'onlyHasDefaultChannel', 'enforceSystemOrSystemUI']"
Lcom/android/server/notification/NotificationManagerService,removeAutomaticZenRule,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]","['removeAutomaticZenRule', 'getCallingUid', 'checkNotNull', 'enforcePolicyAccess']"
Lcom/android/server/notification/NotificationManagerService,removeAutomaticZenRules,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>]","['checkNotNull', 'removeAutomaticZenRules', 'enforceSystemOrSystemUI']"
Lcom/android/server/notification/NotificationManagerService,requestBindListener,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>]","['restoreCallingIdentity', 'setComponentState', 'clearCallingIdentity', 'getPackageName', 'access$1500', 'access$2800', 'isComponentEnabledForCurrentProfiles', 'access$800']"
Lcom/android/server/notification/NotificationManagerService,requestBindProvider,2,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>]","['restoreCallingIdentity', 'setComponentState', 'clearCallingIdentity', 'getPackageName', 'access$2800', 'access$900']"
Lcom/android/server/notification/NotificationManagerService,setInterruptionFilter,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>]","['setManualZenMode', 'restoreCallingIdentity', 'enforcePolicyAccess', 'clearCallingIdentity', 'zenModeFromInterruptionFilter', 'toString', '<init>', 'append']"
Lcom/android/server/notification/NotificationManagerService,setNotificationAssistantAccessGranted,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>, <Primordial,Z>]","['setNotificationAssistantAccessGrantedForUser', 'getCallingUserHandle', 'getIdentifier']"
Lcom/android/server/notification/NotificationManagerService,setNotificationAssistantAccessGrantedForUser,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>, <Primordial,I>, <Primordial,Z>]","['savePolicyFile', 'restoreCallingIdentity', 'test', 'flattenToString', 'access$5100', 'access$5200', 'setPackage', 'sendBroadcastAsUser', 'setPackageOrComponentEnabled', '<init>', 'access$900', 'checkNotNull', 'addFlags', 'of', 'clearCallingIdentity', 'getPackageName', 'access$1500', 'getContext']"
Lcom/android/server/notification/NotificationManagerService,setNotificationListenerAccessGranted,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>, <Primordial,Z>]","['getCallingUserHandle', 'getIdentifier', 'setNotificationListenerAccessGrantedForUser']"
